N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,미래에셋증권,"9,150",80,+0.88%,"5,000","58,131","635,316",14.02,"534,022",7.29,8.94,
61,에스디바이오센서,"55,900",500,-0.89%,500,"57,729","103,271",1.78,"559,354",8.47,139.97,
62,강원랜드,"26,350",400,+1.54%,500,"56,373","213,940",18.87,"314,027",-35.09,-7.92,
63,현대중공업지주,"69,500",600,+0.87%,"1,000","54,900","78,993",17.26,"48,206",-24.28,-8.12,
64,한국금융지주,"97,500",600,-0.61%,"5,000","54,333","55,726",34.38,"193,956",4.36,16.27,
65,LG이노텍,"224,500","1,000",-0.44%,"5,000","53,133","23,667",31.14,"76,078",13.06,10.20,
66,한미사이언스,"74,700","1,100",+1.49%,500,"50,277","67,305",1.69,"56,363",181.75,3.47,
67,아모레G,"58,500","1,500",-2.50%,500,"48,238","82,458",17.53,"162,420",114.71,0.31,
68,이마트,"171,000","1,500",+0.88%,"5,000","47,668","27,876",33.28,"132,169",11.79,4.05,
69,오리온,"119,000","2,000",+1.71%,500,"47,048","39,536",38.76,"29,016",17.68,15.50,
70,삼성엔지니어링,"23,900",350,-1.44%,"5,000","46,844","196,000",31.33,"2,732,918",16.12,17.32,
71,F&F,"602,000","16,000",+2.73%,500,"46,122","7,661",10.09,"22,414",N/A,N/A,
72,맥쿼리인프라,"12,350",50,+0.41%,0,"45,966","372,192",15.45,"158,499",N/A,N/A,
73,두산밥캣,"45,150",100,+0.22%,500,"45,262","100,249",26.01,"100,015",13.74,6.15,
74,한진칼,"67,400",100,+0.15%,"2,500","44,982","66,739",14.97,"31,994",-54.89,-19.55,
75,유한양행,"62,100",400,+0.65%,"1,000","43,453","69,973",17.82,"68,401",45.30,11.06,
76,KODEX 200,"43,025",75,+0.17%,0,"41,648","96,800",3.19,"1,609,624",N/A,N/A,
77,CJ대한통운,"181,000",0,0.00%,"5,000","41,290","22,812",23.15,"12,647",34.39,3.89,
78,삼성중공업,"6,540",0,0.00%,"5,000","41,202","630,000",13.79,0,-2.30,-33.06,
79,GS,"43,950",200,+0.46%,"5,000","40,836","92,915",19.34,"36,977",6.45,-2.82,
80,팬오션,"7,610",100,+1.33%,"1,000","40,681","534,570",10.41,"1,527,257",32.38,3.25,
81,삼성카드,"35,050",250,+0.72%,"5,000","40,609","115,859",8.35,"80,388",9.56,5.69,
82,쌍용C&E,"8,030",0,0.00%,100,"40,460","503,860",3.50,"246,389",29.31,7.92,
83,DB손해보험,"56,400",600,+1.08%,500,"39,931","70,800",43.31,"41,777",6.44,9.08,
84,롯데지주,"38,050",150,+0.40%,200,"39,918","104,909",8.50,"70,834",-93.49,-3.03,
85,한미약품,"330,000","6,500",+2.01%,"2,500","39,858","12,078",13.05,"13,325",169.84,1.65,
86,삼성증권,"44,300",400,+0.91%,"5,000","39,560","89,300",28.20,"148,209",5.06,9.89,
87,효성티앤씨,"914,000","28,000",+3.16%,"5,000","39,555","4,328",22.32,"64,253",15.43,25.10,
88,GS건설,"45,300",500,+1.12%,"5,000","38,768","85,581",26.43,"585,226",10.89,7.68,
89,현대차2우B,"105,500",500,-0.47%,"5,000","38,492","36,485",60.97,"27,467",12.77,N/A,
90,GS리테일,"35,600",0,0.00%,"1,000","37,280","104,718",12.84,"95,688",18.29,7.50,
91,일진머티리얼즈,"80,400",800,-0.99%,500,"37,073","46,111",9.90,"149,355",92.20,7.23,
92,호텔신라,"94,400",800,+0.85%,"5,000","37,050","39,248",18.90,"129,452",-17.87,-36.74,
93,NH투자증권,"12,800",50,-0.39%,"5,000","36,020","281,409",17.89,"246,073",4.79,10.32,
94,대우조선해양,"33,450",700,+2.14%,"5,000","35,889","107,291",7.14,"109,790",-9.18,2.27,
95,현대오토에버,"130,000","3,500",+2.77%,500,"35,651","27,424",1.39,"109,390",46.33,11.09,
96,씨에스윈드,"84,000",100,+0.12%,500,"35,424","42,171",10.63,"320,027",67.69,8.19,
97,녹십자,"298,000","6,500",+2.23%,"5,000","34,826","11,687",20.61,"45,178",34.78,7.48,
98,메리츠증권,"5,020",70,+1.41%,"1,000","34,223","681,731",13.95,"867,818",5.55,13.08,
99,현대미포조선,"85,100","1,500",+1.79%,"5,000","33,991","39,942",10.20,"190,646",-103.91,-0.84,
100,신풍제약,"63,900",300,+0.47%,500,"33,857","52,985",8.59,"293,197",743.02,1.72,
101,한국가스공사,"36,450",600,+1.67%,"5,000","33,648","92,313",6.21,"167,098",-17.14,-2.24,
102,두산퓨얼셀,"50,200","1,300",+2.66%,100,"32,878","65,494",11.87,"471,279",283.62,4.18,
103,한국항공우주,"33,700",550,+1.66%,"5,000","32,849","97,475",13.79,"197,282",426.58,6.39,
104,메리츠금융지주,"24,500",500,+2.08%,500,"32,833","134,011",8.10,"105,807",5.74,16.06,
105,포스코인터내셔널,"26,250",50,+0.19%,"5,000","32,386","123,375",13.33,"631,664",12.52,7.69,
106,한화시스템,"16,900",150,+0.90%,"5,000","31,927","188,919",2.43,"261,251",19.34,9.35,
107,휠라홀딩스,"52,200",100,+0.19%,"1,000","31,713","60,752",46.31,"107,225",16.66,10.94,
108,롯데쇼핑,"110,500",500,+0.45%,"5,000","31,259","28,289",10.42,"18,047",-4.15,-7.70,
109,키움증권,"119,000",500,+0.42%,"5,000","31,178","26,200",23.32,"27,773",3.18,27.63,
110,에스원,"81,500",400,+0.49%,500,"30,969","37,999",53.92,"17,290",20.72,10.48,
111,대우건설,"7,430",10,+0.13%,"5,000","30,881","415,623",9.94,"1,610,799",8.35,11.06,
112,동서,"30,550",100,+0.33%,500,"30,458","99,700",3.46,"32,581",26.63,8.61,
113,한솔케미칼,"267,500","6,500",+2.49%,"5,000","30,322","11,335",42.21,"46,797",23.38,24.50,
114,KCC,"339,000","10,000",+3.04%,"5,000","30,125","8,886",11.62,"30,362",3.50,12.79,
115,한화생명,"3,460",30,+0.87%,"5,000","30,051","868,530",7.32,"3,461,274",6.42,1.90,
116,메리츠화재,"24,550",700,+2.94%,500,"29,613","120,625",10.88,"204,088",6.21,16.91,
117,CJ,"101,000",500,+0.50%,"5,000","29,469","29,177",17.72,"24,398",-266.49,1.89,
118,LG화학우,"378,500",0,0.00%,"5,000","29,102","7,689",66.91,"7,035",16.48,N/A,
119,만도,"61,900",900,+1.48%,"1,000","29,066","46,957",23.71,"114,465",62.46,0.37,
120,제일기획,"25,000",300,+1.21%,200,"28,760","115,041",33.76,"123,646",17.34,16.11,
121,한샘,"121,500","2,000",+1.67%,"1,000","28,594","23,534",19.51,"88,101",38.98,10.83,
122,SK케미칼,"242,500","1,500",-0.61%,"5,000","28,497","11,751",17.73,"24,278",11.00,30.49,
123,OCI,"119,000","6,000",-4.80%,"5,000","28,381","23,849",16.97,"1,016,996",-18.65,-9.89,
124,DL이앤씨,"146,000","1,500",+1.04%,"5,000","28,264","19,359",28.26,"33,947",N/A,N/A,
125,BGF리테일,"163,500",500,+0.31%,"1,000","28,259","17,284",32.30,"17,934",22.33,18.60,
126,효성첨단소재,"630,000","28,000",+4.65%,"5,000","28,224","4,480",11.51,"115,623",77.76,0.03,
127,DB하이텍,"61,300",500,-0.81%,"5,000","27,216","44,399",17.65,"539,523",17.19,23.07,
128,신세계,"273,500","2,000",+0.74%,"5,000","26,927","9,845",27.89,"23,652",-84.23,-2.81,
129,현대위아,"98,400","2,800",+2.93%,"5,000","26,760","27,195",7.57,"279,419",173.85,1.96,
130,현대로템,"24,300",150,+0.62%,"5,000","26,522","109,142",4.44,"725,713",56.25,2.84,
131,한화에어로스페이스,"51,900","1,800",+3.59%,"5,000","26,277","50,630",19.67,"456,843",11.76,4.78,
132,현대차우,"107,500",500,-0.46%,"5,000","26,183","24,357",58.91,"21,434",13.01,N/A,
133,효성,"124,000","4,000",+3.33%,"5,000","26,128","21,071",9.71,"151,198",92.68,-2.26,
134,더존비즈온,"85,200",300,+0.35%,500,"25,850","30,341",38.84,"31,500",47.44,15.09,
135,BNK금융지주,"7,690",20,+0.26%,"5,000","25,064","325,935",38.42,"614,767",4.36,6.11,
136,하이트진로,"34,600",150,+0.44%,"5,000","24,266","70,134",5.49,"125,079",29.93,8.23,
137,KODEX 단기채권,"102,845",0,0.00%,0,"24,223","23,553",0.00,"4,159",N/A,N/A,
138,LS,"73,300",400,+0.55%,"5,000","23,603","32,200",15.38,"66,175",12.91,3.94,
139,현대해상,"25,600",50,-0.19%,500,"22,886","89,400",28.14,"258,264",6.19,7.13,
140,한화,"30,050",50,-0.17%,"5,000","22,525","74,959",17.82,"141,793",7.70,4.79,
141,대한전선,"2,615",5,+0.19%,500,"22,397","856,473",3.35,"3,506,265",186.79,0.92,
142,코오롱인더,"81,300","1,100",+1.37%,"5,000","21,934","26,979",19.84,"220,115",26.94,9.70,
143,대웅,"37,500",900,+2.46%,500,"21,803","58,142",3.51,"158,204",25.34,15.10,
144,현대엘리베이,"53,200",200,+0.38%,"5,000","21,714","40,815",27.93,"175,307",19.40,9.78,
145,KODEX 200선물인버스2X,"1,925",5,-0.26%,0,"21,708","1,127,700",2.61,"99,312,460",N/A,N/A,
146,TIGER 200,"43,060",110,+0.26%,0,"21,573","50,100",0.00,"942,056",N/A,N/A,
